title,link,abstract,processed_abstract
Fusion-Plasma Response Modeling through Neural Network Machine Learning,/doi/10.5555/3580523.3580562,"A neural network is a system with interconnected nodes called 'neurons,' which communicate an output by processing it through an activation function. It is based on the human brain, which means it trains itself to reduce errors. The objective of this project was to model efficient temperatures for nuclear fusion reactions to occur for maximum energy output. Nuclear fusion is a theoretical concept today but with the research done, a path to making it experimental can be paved. The neural network was developed through Anaconda Distribution and uses the software Spyder to code in Python. The source of the output is an activation function, which in this case was Te = (105)(Ip0.85)(P0.3)(ne0.61), where Te represents the temperature of the electrons. The actual output of the function is 4.19x10−5 eV to 4.19x10−4 eV and represents the value the neural network tried to predict. After being run for 1000 epochs, the loss function of the neural network was measured. The loss function measured how far the predicted values were off regarding the actual output. The decrease in loss function signified a negative trend meaning the accuracy of the outputs increased. This research has a great societal impact because it will allow the world to develop clean energy. Other impacts include the development of artificial intelligence and an efficient way to find a way to clean and sustainable energy.",neural network communicate output activation function trains efficient nuclear fusion reactions output nuclear fusion research paved neural network anaconda spyder python output activation function te te represents electrons actual output function ev ev represents neural network tried epochs loss function neural network measured loss function measured actual output loss function signified research clean impacts efficient way way clean
Human-Computer Collaborative Visual Design Creation Assisted by Artificial Intelligence,/doi/10.1145/3554735,"With the support and promotion of big data and cloud computing, it has penetrated into every field of people's life more and more deeply, with its characteristics of sustainable work, extremely fast computing speed, and a certain intelligence. This is an effective way to solve the general lack of demand and productivity of visual design, relieve the pressure off designers to deal with relatively low-quality and high-demand designs, the combination of design and artificial intelligence technology is a necessity. Research on the application of artificial intelligence technology for visual design is also in full swing at home and abroad, but at present, teams at home and abroad are in the exploratory stage. This paper considers whether it is possible to build an intelligent visual design and creation system by using artificial intelligence technology, that is, using artificial intelligence technology to help graphic communication designers achieve high-quality, high-efficiency and high-quantity design output, and explore how to combine artificial intelligence technology with designers's design workflow, so as to form a complementary human-computer cooperation mode. We will explore how to integrate AI technology with designers' design workflow and then create a human-machine collaboration model with complementary advantages to achieve the high quality, high efficiency, and high quantity of design output required by the intelligent visual design creation system being built. Finally, a basic framework of a generative smart human-computer collaborative visual design creation system based on a subset of neural network expert systems in multiple domains and an aggregate of different modules supported by the system is formed, and the working principle and usage process of the system are further elaborated with the example of packaging design.",intelligence visual design designers design artificial intelligence technology artificial intelligence technology visual design home abroad home abroad visual design creation system artificial intelligence technology artificial intelligence technology designers design output explore artificial intelligence technology designers design workflow complementary explore technology designers design workflow complementary high high high design output visual design creation system visual design creation system system system design
Adaptive HTF-MPR: An Adaptive Heterogeneous TensorFlow Mapper Utilizing Bayesian Optimization and Genetic Algorithms,/doi/10.1145/3396949,"Deep neural networks are widely used in many artificial intelligence applications. They have demonstrated state-of-the-art accuracy on many artificial intelligence tasks. For this high accuracy to occur, deep neural networks require the right parameter values. This is achieved by a process known as training. The training of large amounts of data via many iterations comes at a high cost in regard to computation time and energy. Optimal resource allocation would therefore reduce the training time. TensorFlow, a computational graph library developed by Google, alleviates the development of neural network models and provides the means to train these networks. In this article, we propose Adaptive HTF-MPR to carry out the resource allocation, or mapping, on TensorFlow. Adaptive HTF-MPR searches for the best mapping in a hybrid approach. We applied the proposed methodology on two well-known image classifiers: VGG-16 and AlexNet. We also performed a full analysis of the solution space of MNIST Softmax. Our results demonstrate that Adaptive HTF-MPR outperforms the default homogeneous TensorFlow mapping. In addition to the speed up, Adaptive HTF-MPR can react to changes in the state of the system and adjust to an improved mapping.",deep neural networks many intelligence accuracy many intelligence high accuracy occur deep neural networks require right training training amounts many iterations comes high regard time resource allocation training time tensorflow library google alleviates neural train networks adaptive carry resource allocation mapping tensorflow adaptive searches mapping classifiers alexnet performed mnist softmax adaptive default homogeneous tensorflow mapping adaptive react adjust mapping
"Edge Intelligence: Concepts, Architectures, Applications, and Future Directions",/doi/10.1145/3486674,"The name edge intelligence, also known as Edge AI, is a recent term used in the past few years to refer to the confluence of machine learning, or broadly speaking artificial intelligence, with edge computing. In this article, we revise the concepts regarding edge intelligence, such as cloud, edge, and fog computing, the motivation to use edge intelligence, and compare current approaches and analyze application scenarios. To provide a complete review of this technology, previous frameworks and platforms for edge computing have been discussed in this work to provide the general view of the basis for Edge AI. Similarly, the emerging techniques to deploy deep learning models at the network edge, as well as specialized platforms and frameworks to do so, are review in this article. These devices, techniques, and frameworks are analyzed based on relevant criteria at the network edge, such as latency, energy consumption, and accuracy of the models, to determine the current state of the art as well as current limitations of the proposed technologies. Because of this, it is possible to understand the current possibilities to efficiently deploy state-of-the-art deep learning models at the network edge based on technologies such as artificial intelligence accelerators, tensor processing units, and techniques that include federated learning and gossip training. Finally, the challenges of Edge AI are discussed in the work, as well as the future directions that can be extracted from the evolution of the edge computing and Internet of Things approaches.",edge intelligence edge ai learning intelligence edge computing edge intelligence edge computing edge intelligence current approaches provide review frameworks platforms edge computing discussed work provide edge ai techniques deploy deep learning models network edge well platforms frameworks review techniques frameworks network edge models current well current technologies current deploy deep learning models network edge technologies intelligence techniques learning edge ai discussed work well edge computing approaches
Achieving High In Situ Training Accuracy and Energy Efficiency with Analog Non-Volatile Synaptic Devices,/doi/10.1145/3500929,"On-device embedded artificial intelligence prefers the adaptive learning capability when deployed in the field, and thus in situ training is required. The compute-in-memory approach, which exploits the analog computation within the memory array, is a promising solution for deep neural network (DNN) on-chip acceleration. Emerging non-volatile memories are of great interest, serving as analog synapses due to their multilevel programmability. However, the asymmetry and nonlinearity in the conductance tuning remain grand challenges for achieving high in situ training accuracy. In addition, analog-to-digital converters at the edge of the memory array introduce quantization errors. In this work, we present an algorithm-hardware co-optimization to overcome these challenges. We incorporate the device/circuit non-ideal effects into the DNN propagation and weight update steps. By introducing the adaptive “momentum” in the weight update rule, in situ training accuracy on CIFAR-10 could approach its software baseline even under severe asymmetry/nonlinearity and analog-to-digital converter quantization error. The hardware performance of the on-chip training architecture and the overhead for adding “momentum” are also evaluated. By optimizing the backpropagation dataflow, 23.59 TOPS/W training energy efficiency (12× improvement compared to naïve dataflow) is achieved. The circuits that handle “momentum” introduce only 4.2% energy overhead. Our results show great potential and more relaxed requirements that enable emerging non-volatile memories for DNN acceleration on the embedded artificial intelligence platforms.",embedded prefers adaptive situ training analog memory array dnn acceleration emerging memories great analog multilevel asymmetry nonlinearity conductance challenges situ training converters memory array introduce quantization challenges dnn weight update adaptive momentum weight update situ training converter quantization training overhead momentum backpropagation dataflow training dataflow momentum introduce overhead great relaxed emerging memories dnn acceleration embedded
Something for everyone: AI lab assignments that span learning styles and aptitudes,/doi/10.5555/1352627.1352650,"One of the great challenges of teaching is managing a wide range of educational backgrounds, learning styles, aptitudes, and time/energy constraints in the same classroom. Aiming down the middle is a poor strategy; it is unacceptable to write off the lower half of a class, and we risk extinguishing the enthusiasm of the best and brightest by moving too slowly. We present a set of workbook-style lab assignments for an undergraduate course on artificial intelligence. By designing them carefully in accordance with Bloom's taxonomy, they can span learning styles and aptitudes. With them, we hope to establish a disciplinary commons -- a public repository of source code, notes, questions, and exercises.",great teaching managing wide range educational backgrounds learning styles aptitudes constraints classroom aiming middle poor strategy unacceptable write lower half class risk extinguishing enthusiasm best brightest moving slowly set lab assignments undergraduate course designing carefully accordance bloom taxonomy span learning styles aptitudes hope establish disciplinary commons public repository source code notes questions exercises
Digital Twin-enabled AI Enhancement in Smart Critical Infrastructures for 5G,/doi/10.1145/3526195,"Artificial Intelligence (AI) technology has been empowered to be a significant driven force within the edge context for powering up contemporary complex systems, such as smart critical infrastructure. Interconnectivity between physical and cyber spaces further introduces the needs of digital twin, which allows AI-based solutions to optimize various tasks in physical operations. However, due to the complexity of the setting in digital twin, task allocation is encountering multiple challenges, such as concurrent meeting the requirements of energy saving, efficiency, and accuracy. In this work, we propose a Digital Twin-Enabled Edge AI (DTE2AI), supported by our Energy-aware High Accuracy Strategy (EAHAS), which focuses on optimizing the training accuracy of AI tasks under the limits of training time and energy consumption. The average of the training accuracy was enhanced 12% based on our experiment evaluations.",ai empowered driven force edge context powering contemporary critical infrastructure interconnectivity physical cyber spaces introduces needs digital twin allows optimize tasks physical operations complexity setting digital twin task allocation encountering concurrent meeting saving accuracy digital edge ai supported accuracy eahas focuses optimizing training accuracy ai tasks limits training training accuracy enhanced experiment evaluations
Initial Responses to False Positives in AI-Supported Continuous Interactions: A Colonoscopy Case Study,/doi/10.1145/3480247,"The use of artificial intelligence (AI) in clinical support systems is increasing. In this article, we focus on AI support for continuous interaction scenarios. A thorough understanding of end-user behaviour during these continuous human-AI interactions, in which user input is sustained over time and during which AI suggestions can appear at any time, is still missing. We present a controlled lab study involving 21 endoscopists and an AI colonoscopy support system. Using a custom-developed application and an off-the-shelf videogame controller, we record participants’ navigation behaviour and clinical assessment across 14 endoscopic videos. Each video is manually annotated to mimic an AI recommendation, being either true positive or false positive in nature. We find that time between AI recommendation and clinical assessment is significantly longer for incorrect assessments. Further, the type of medical content displayed significantly affects decision time. Finally, we discover that the participant’s clinical role plays a large part in the perception of clinical AI support systems. Our study presents a realistic assessment of the effects of imperfect and continuous AI support in a clinical scenario.",ai clinical support ai support continuous thorough behaviour continuous time ai suggestions time study endoscopists ai colonoscopy support videogame behaviour clinical assessment endoscopic manually annotated mimic ai recommendation true positive false positive time ai recommendation clinical assessment significantly incorrect assessments displayed significantly time participant clinical clinical ai support study assessment imperfect continuous ai support clinical
DRL based Joint Affective Services Computing and Resource Allocation in ISTN,/doi/10.1145/3561821,"Affective services will become a research hotspot in artificial intelligence (AI) in the next decade. In this paper, a novel service paradigm combined with wireless communication in integrated satellite-terrestrial network (ISTN) is proposed. On this basis, an affective services computing offloading and transmission network (ASCTN) with a three-tier computation architecture is proposed, which is able to assist users to obtain affective computing services and regulate emotions. The optimization problem is investigated in the ASCTN, which is a discrete, non-linear, and non-convex problem with the limitation of computation ability of satellite and transmit power. Specifically, with the objective to minimize the cost utility related to latency and energy consumption, a joint affective services tasks computing offloading strategy, sub-channel, and power allocation algorithm based on dueling deep Q-network (Dueling-DQN) is proposed, which is in possession of better stability. The simulation results reveal the effectiveness of the optimization algorithm in terms of the cost utility in the ASCTN system.",affective services hotspot next decade combined istn proposed basis affective services computing offloading asctn computation proposed assist affective computing services regulate emotions optimization problem investigated asctn discrete problem limitation computation satellite transmit power objective cost utility related joint affective services computing offloading power algorithm dueling proposed possession reveal optimization algorithm cost utility asctn
Citizen Participation and Machine Learning for a Better Democracy,/doi/10.1145/3452118,"The development of democratic systems is a crucial task as confirmed by its selection as one of the Millennium Sustainable Development Goals by the United Nations. In this article, we report on the progress of a project that aims to address barriers, one of which is information overload, to achieving effective direct citizen participation in democratic decision-making processes. The main objectives are to explore if the application of Natural Language Processing (NLP) and machine learning can improve citizens’ experience of digital citizen participation platforms. Taking as a case study the “Decide Madrid” Consul platform, which enables citizens to post proposals for policies they would like to see adopted by the city council, we used NLP and machine learning to provide new ways to (a) suggest to citizens proposals they might wish to support; (b) group citizens by interests so that they can more easily interact with each other; (c) summarise comments posted in response to proposals; and (d) assist citizens in aggregating and developing proposals. Evaluation of the results confirms that NLP and machine learning have a role to play in addressing some of the barriers users of platforms such as Consul currently experience.CCS concepts: • Human-centred computing→Collaborative and social computing • Computing methodologies→Artificial intelligence→Natural language processing",development democratic confirmed one millennium development goals united nations report progress barriers one overload direct citizen participation democratic language processing nlp machine learning citizens citizen participation platforms decide madrid consul citizens post proposals policies council nlp machine learning suggest citizens proposals wish citizens interests easily summarise comments posted proposals citizens aggregating proposals confirms nlp machine learning play addressing barriers platforms consul concepts language processing
