title,link,datum
Sustainable Smart Industry: A Secure and Energy Efficient Consensus Mechanism for Artificial Intelligence Enabled Industrial Internet of Things,/doi/10.1155/2022/1419360,January 2022
Assessing the correlation between the sustainable energy for all with doing a business by artificial neural network,/doi/10.1007/s00521-022-07638-y,December 2022
Intelligent Reflective Surface Based 6G Communications for Sustainable Energy Infrastructure,/doi/10.1109/MWC.016.2100179,December 2021
Management and information disclosure of electric power environmental and social governance issues in the age of artificial intelligence,/doi/10.1016/j.compeleceng.2022.108390,December 2022
Detection Algorithm of Wind Power Equipment Video Image Sequence Based on Artificial Intelligence,/doi/10.1155/2022/5882950,January 2022
Evaluation of Thermodynamic Analysis of Solar Energy Systems Integrated into Sustainable Buildings with Artificial Neural Network: A Case Study,/doi/10.1016/j.procs.2019.09.031,January 2019
Applications of Intelligent Model to Analyze the Green Finance for Environmental Development in the Context of Artificial Intelligence,/doi/10.1155/2022/2977824,January 2022
Managing Sustainability Tensions in Artificial Intelligence: Insights from Paradox Theory,/doi/10.1145/3514094.3534175,July 2022
HUNTER: AI based holistic resource management for sustainable cloud computing,/doi/10.1016/j.jss.2021.111124,February 2022
Theory and Realization of Secondary Task Assignment for Multi-UAV Pickup Based on Green Scheduling,/doi/10.1155/2021/6618430,January 2021
Lightweight Gramian Angular Field classification for edge internet of energy applications,/doi/10.1007/s10586-022-03704-1,August 2022
Big-Data-Based Research on the Architecture Design of University Hydropower Intelligent Decision Service Platform,/doi/10.1145/3456415.3456416,June 2021
AI-Aided Integrated Terrestrial and Non-Terrestrial 6G Solutions for Sustainable Maritime Networking,/doi/10.1109/MNET.104.2100351,May 2022
Implementation of Digitalized Technologies for Fashion Industry 4.0: Opportunities and Challenges,/doi/10.1155/2022/7523246,January 2022
Readiness Status of Artificial Intelligence Applications on Electric Vehicles: A mini global review and analysis using the J-TRA method,/doi/10.1145/3557738.3557848,November 2022
"Application of artificial intelligence to wind power generation: modelling, control and fault detection",/doi/10.1504/ijista.2020.108083,January 2020
Biohybrid systems for environmental intelligence on living plants: WatchPlant project,/doi/10.1145/3462203.3475885,September 2021
Smart DC: An AI and Digital Twin-based Energy-Saving Solution for Data Centers,/doi/10.1109/NOMS54207.2022.9789853,April 2022
"Bidirectional Green Promotion of 6G and AI: Architecture, Solutions, and Platform",/doi/10.1109/MNET.101.2100285,November 2021
Fusion-Plasma Response Modeling through Neural Network Machine Learning,/doi/10.5555/3580523.3580562,November 2022
Enabling Trustworthiness in Sustainable Energy Infrastructure Through Blockchain and AI-Assisted Solutions,/doi/10.1109/MWC.018.2100194,December 2021
RaPiD: AI accelerator for ultra-low precision training and inference,/doi/10.1109/ISCA52012.2021.00021,November 2021
An IIoT-driven and AI-enabled framework for smart manufacturing system based on three-terminal collaborative platform,/doi/10.1016/j.aei.2021.101370,October 2021
ReLeDP: Reinforcement-Learning-Assisted Dynamic Pricing for Wireless Smart Grid,/doi/10.1109/MWC.011.2000431,December 2021
Prediction of power of a photovoltaic system in height using hybrid models of Shinkrage regularization with RFE and SFS,/doi/10.1145/3503047.3503132,January 2022
Intelligent energy management using data mining techniques at Bosch Car Multimedia Portugal facilities,/doi/10.1016/j.procs.2022.03.065,January 2022
Reprint of: Triboelectric nanogenerator-based wearable electronic devices and systems: Toward informatization and intelligence,/doi/10.1016/j.dsp.2022.103570,June 2022
"Towards green Internet of Things (IoT) for a sustainable future in Gulf Cooperation Council countries: current practices, challenges and future prospective",/doi/10.1007/s11276-022-03133-3,October 2022
Joint Computation Offloading and Resource Allocation Under Task-Overflowed Situations in Mobile-Edge Computing,/doi/10.1109/TNSM.2021.3135389,June 2022
OnSRAM: Efficient Inter-Node On-Chip Scratchpad Management in Deep Learning Accelerators,/doi/10.1145/3530909,October 2022
Nonlinear Integrated Fuzzy Modeling to Predict Dynamic Occupant Environment Comfort for Optimized Sustainability,/doi/10.1155/2022/4208945,January 2022
Petri net-based scheduling strategy and energy modeling for the cylinder block remanufacturing under uncertainty,/doi/10.1016/j.rcim.2019.03.004,August 2019
LoRa-Based Smart IoT Application for Smart City: An Example of Human Posture Detection,/doi/10.1155/2020/8822555,January 2020
Solar energy forecasting using intelligent techniques: A step towards sustainable power generating system,/doi/10.3233/JIFS-189757,January 2022
Liquid Silicon-Monona: A Reconfigurable Memory-Oriented Computing Fabric with Scalable Multi-Context Support,/doi/10.1145/3173162.3173167,March 2018
Negative optics in vision machines,/doi/10.1007/s00146-020-01096-7,December 2021
Optimizing soft subsystems of regions by agent controlled simulation,/doi/10.5555/1357910.1358069,July 2007
Modeling the Thermal Dynamics of Buildings: A Latent-Force- Model-Based Approach,/doi/10.1145/2629674,March 2015
On Influencing Individual Behavior for Reducing Transportation Energy Expenditure in a Large Population,/doi/10.1145/3306618.3314271,January 2019
A neuro evolutionary scheme for improved IoT energy efficiency in smart cities,/doi/10.1016/j.compeleceng.2022.108443,December 2022
Intelligent data analysis for sustainable smart grids using hybrid classification by genetic algorithm based discretization,/doi/10.3233/IDT-170283,January 2017
