date,abstract,title,link
None,"The construction sector is one of the sectors that make energy efficiency a must. In almost every field related to the construction sector, there is a need for studies in which high performance can be achieved by including artificial intelligence in energy. In this study, energy class models, which are an area of artificial intelligence, which show the efficiency level of energy systems that determine the energy performance of buildings, are examined.",Estimation of Energy Performance Classes of Concrete Structures with Artificial Intelligence Models,https://ieeexplore.ieee.org/document/9364003/
None,"In the last decade, the energy industry has shifted its focus toward alternative energy sources such as solar, hydro, and nuclear power in order to satisfy individual needs. There is still an issue with not having enough access to energy in several regions of India. The production of electricity via thermal means, the generation of power through nuclear means, and the generation of power through hydro means are the three principal forms of power generating in India. This paper discusses the power generation from different energy sources and analyses the demand in India between 2017 to 2020 years. The purpose of this research is to examine data and depict it in a manner that may be understood quickly and easily. The purpose of this research is to compile secondary data drawn from reputable sources and examine that data in the context of existing knowledge gaps. Between the years 2017 and 2020, it will be necessary to conduct research and analysis on a variety of alternative energy sources, including thermal power and other thermal sources. Additional machine learning strategies have been used to the solar data in order to study and anticipate. As a result of using this method, the loss and MSE (mean square error) of the solar data time series were discovered. Therefore, the proper use of power is something that might be evaluated and put into practice from an Indian point of view.",Estimation of Energy Demand and Sustainable Source for India & Study of Renewable Energy though Machine Learning,https://ieeexplore.ieee.org/document/10125488/
None,"Energy efficiency in industry provides some promising solutions for industrial decarbonization and reduction of negative environ-mental impacts. Nowadays, the digitalization of the industry offers an intelligent industrial work network, which allows the use of learning algorithms for the prediction of energy consumption in order to lower the energy bill. This paper investigates different approaches used to predict energy consumption in industry, including Multiple Linear Regression (MLR), Decision Tree (DT), Artificial Neural Networks (ANN) and Recurrent Neural Networks (RNN) based on data collected of meteorological conditions, energy consumption, and lighting in the industry. The review results indicate that the MLR approach is the best forecasting method.",A Review on the Prediction of Energy Consumption in the Industry Sector Based on Machine Learning Approaches,https://ieeexplore.ieee.org/document/9668559/
None,"Autonomous Vehicles (AV) is one of the prominent research areas in Automobile industry. This autonomous vehicle manufacturing and testing involves several influencing factors that need to be analysed and subsequent decision making is carried out. Added to that the decisions have to be precise and fast. Hence, it is necessary that several activities pertaining to AV leverage the services of Artificial Intelligence (AI) for its functioning. This paper performs a comprehensive study of how Artificial Intelligence and its allied sub domains play a pivotal role in AV operations. The study discusses in detail about the various complex operations in AV for which AI is used to provide solutions. Also, a clear mapping of various sub domains of AI to AV problems is performed. Finally a mapping depicting various complex operations in AV and related AI based solutions in provided.",A Comprehensive Study on the Impact of Artificial Intelligence in Autonomous Vehicles,https://ieeexplore.ieee.org/document/9851143/
None,"Beyond our wildest dreams, Artificial Intelligence (AI) is changing industrial growth as well as our mode of living. Numerous nations have started national AI programmes to promote the value and usefulness of AI in smart businesses. However, there are problems with the practical use of AI to address current manufacturing concerns that must be disregarded. Finding various applications that may deliver value and satisfy the rising market but also capital demands is now the largest issue. To provide a concise road map for the methodical development and integration of AI in industrial operations, a systematic framework termed as ""Industrial AI"" was presented along with its key enabling technologies. This paper provides a thorough review of the major enabling solutions for industrial AI throughout the manufacturing sector as a whole and how their systematic implementation will help create new opportunities for value creation and prevent issues from emerging yet.",Artificial Intelligence as a Driver of Industrial Competitiveness,https://ieeexplore.ieee.org/document/10125463/
None,"In this paper, wind turbine power output is predicted using Artificial intelligence (AI) techniques. The AI techniques used for predictions are Machine Learning (ML) algorithm and Deep Learning (DL). In ML, polynomial regression is used and Long Short Term Memory(LSTM) was used in DL. This forecasting is long-term forecasting that uses three years of data collected from NIWE (National Institute of Wind Energy) and the results can be used directly for the planning of energy management. Various environmental factors were taken into consideration for forecasting for better accuracy and results. The AI helps to predict the wind turbine output with high accuracy by considering the linear and non-linear types of dataset. This technique can also be used for the preventive maintenance of wind turbines and before the installation of wind power plants in an unfamiliar place to determine the corresponding wind potential.",Wind Turbine Power Output Forecasting Using Artificial Intelligence,https://ieeexplore.ieee.org/document/9851008/
None,"Energy is essential for the sustainable development of nations. Increasing population growth, along with expected increases in duration and intensity of extreme weather, can increase energy demands. There is the potential for further interruption if companies do not appropriately account for an increase in demand, especially with the state and federal agencies implementing a transition to clean energy production by the end of the decade. In order to assess energy demand with changing variables, we conduct energy demand analysis in a moderate emissions scenario in the residential sector that consumes the most energy of all energy sectors. We assess changes in energy demand by comparing results from the data mining / machine learning techniques of Support Vector Machines (SVM) and Artificial Neural Network (ANN). Our results are helpful in contributing to sustainable energy goals in line with smart environment initiatives via greenness and energy efficiency.",Analyzing Land Use Change and Climate Data to Forecast Energy Demand for a Smart Environment,https://ieeexplore.ieee.org/document/9741210/
None,"Latin Americas energy transition involves the massive integration of sustainable energy, different than hydro, at large and small scale, consumer empowerment, and the adoption of emerging information and communication technologies (ICT) in the entire electricity sector. These factors boost the usage of Artificial Intelligence (AI) to transform the traditional energy industry into a more complex cyber-physical ecosystem. But unlocking the full AI potential requires understanding working principles, current existing applications, and its comprehensive impact on the energy value chain. This paper discusses the role of AI in this context, emphasizing the key factors for successful implementation in the region and proposing an AI maturity model for the energy transition that allows determining the status and gaps for AI adoption.",The Role of Artificial Intelligence in Latin Americas Energy Transition,https://ieeexplore.ieee.org/document/9904766/
None,"Due to increased population, lot of emissions and pollutions are taking places in power sector, telecommunication sector, automobile sector etc. Hence there is need to reduce Green-house emission and other pollutions in various sectors by reducing/removing our dependency on fossil fuels. Renewable energy sources is gaining lot of attraction in power sector. The power networks faces lot of challenges in transmission and distribution to meet daily demands. In order to meet these challenges energy storage system plays very important role. Energy storage system is playing very important role in automobile industry & telecommunications green technology also to reduce pollution and green-house effect. Lead acid battery is most widely used in India due to its well-known chemistry, infrastructure low price and efficiency. The real disadvantage in lead acid battery is that it easily sulfates because of improper charging and discharging. This sulfation is more dominant in stationary applications. This paper basically focuses on various types of energy storage systems, their viability for particular applications, cost and life. Paper also focuses on the various techniques used to reduce sulfation in lead acid battery application and improving its life by reducing sulfation by artificial intelligence.",Feasibility of energy storage systems in different applications for sustainable energy,https://ieeexplore.ieee.org/document/7873774/
None,"One of the most challenging areas of Future Smart Cities Research is the Smart Energy domain. Critical issues related to optimization, provision of smart customizable networks and sophisticated computational techniques and methods enabled by artificial intelligence and machine learning need further investigation. The renewable energy (RE) is a powerful resource for the future global development in the context of climate change and resources depletion. Artificial intelligence (AI) implies new rules of organizing the activities in order to respond to these new requirements. It is necessary to improve the design of the energy infrastructure, the deployment and production of RE in order to face the multiple challenges that will affect the sector’s growth and resilience.. In this research work we exploit the recent developments on the AI adoption for RE sector in European Union (EU). In this respect, we analysed (i) the efficiency of the transformation processes of the RE within the energy chain from Gross Inland Consumption to Final Energy Consumption, (ii) its implications on the structure of renewable energy by source (solar, wind, biomass etc.), (iii) the labour productivity in RE sector compared to the economy as a whole and its correlation with investments level, (iv) the implication of the adoption of AI for RE towards Future Smart Cities Research. The main contribution of this research is the development of a framework for understanding the contribution of AI in the RE sector in Europe. Another bold contribution of this work is the discussion of the implications for Future Smart Cities Research and future research directions.",Artificial Intelligence for Smart Renewable Energy Sector in Europe—Smart Energy Infrastructures for Next Generation Smart Cities,https://ieeexplore.ieee.org/document/9076660/
