date,abstract,title,link
None,"Sustainability is a vast subject involving various research areas. Emerging technologies, through their development and the possibilities they offer, impact sustainability. In particular, Artificial Intelligence and Machine Learning have been trendy research subjects for almost a decade now. They offer a wide range of potential applications, including energy efficiency and Intelligent Transportation Systems, two key elements for Smart Cities. All these developments seem to put AI in a favorable position to build Sustainability. However, AI’s own ecological impact and carbon footprint is disastrous and drastic changes must be done if this technology is to be used in a sustainable future. This paper offers a short overview of AI potential for sustainability, in the context of Smart cities. Then the drawbacks of AI energy consumption are highlighted. New ways and methodologies are proposed to create greener AI.",AI Legitimacy for Sustainability,https://ieeexplore.ieee.org/document/9467431/
None,"The construction sector is one of the sectors that make energy efficiency a must. In almost every field related to the construction sector, there is a need for studies in which high performance can be achieved by including artificial intelligence in energy. In this study, energy class models, which are an area of artificial intelligence, which show the efficiency level of energy systems that determine the energy performance of buildings, are examined.",Estimation of Energy Performance Classes of Concrete Structures with Artificial Intelligence Models,https://ieeexplore.ieee.org/document/9364003/
None,"In the recent era, for most sustainable smart cities energy conservation is a major point of consideration as urbanization is been carried out at an exponential rate. Out of that most of the energy consumption is diverted toward households, and there is a huge scope for optimization of this energy. Hence predicting this household energy with the advancement of AI and Machine Learning techniques is considered a social contribution and area of interest for most researchers. But only predicting the energy consumption will not solve the problem of energy optimization for a city, it is also important to understand the factors responsible for such predictions so that all possible recourses could be carried out to those factors, and it becomes more accountable, trustworthy and justifiable its energy optimization decisions towards its all stakeholders. With the use of Explainable Artificial Intelligence (XAI) techniques such as LIME, SHAP is possible to improve the explainability of machine learning models. Here SHAP technique is adopted to understand the prediction model and identify mostly responsible factors for the energy consumption of households.",Explainable AI for predicting daily household energy usages,https://ieeexplore.ieee.org/document/10060217/
None,"Sustainability, to describe it in simpler words, is a process of making things less bad. It is not a long-term solution even if it limits the destruction of the environment to a manageable level. Nevertheless, by just becoming sustainable, one cannot bring back what has been lost. The restoration approach is immediately required to fixing what has been broken by using renewable energy, reforestation and creating biodiversity gains. Redesigning our industrial system of production and consumption around the circular patterns of resource and energy use that we observe in mature ecosystems is a must and a complex endeavour. To create a truly regenerative economy challenges us to work with huge amounts of data. New techniques of data science and artificial intelligence are required in each step of the ecological design. This paper presents some examples of biomimicry in circular design and proposes techniques that integrate data science and artificial intelligence (AI) as tools to accelerate the transition towards the regenerative approach. AI, as an emergent `Fourth Industrial Revolution' technology, can support and accelerate the pace of human innovation to design the future urban developments, to enable innovation in cities. AI has the capability to create a step change, to support an effective economic system that is regenerative by design.",Sustainability Is Not Enough: Towards AI Supported Regenerative Design,https://ieeexplore.ieee.org/document/9198554/
None,"Artificial Intelligence (AI) is a rapidly advancing field.Novel machine learning methods combined with reasoning and search techniques have led us to reach new milestones: from computer vision, machine translation, and Go worldchampion level play, to self-driving cars. These ever-expanding AI capabilities open exciting avenues for advances in new domains. I will discuss our AI research for advancing scientific discovery for a sustainable future. In particular, I will talk about our research in a new interdisciplinary field, Computational Sustainability, which aims to develop computational models and methods to help balance the environmental, economic, and societal needs for a sustainable future. I will provide examples of computational sustainability problems, ranging from biodiversity conservation to multi-criteria strategic planning of hydropower dams in the Amazon basin and materials discovery for renewable energy materials. I will also highlight our work on AI to accelerate the discovery of new solar fuels materials. In this work, we propose an approach called Deep Reasoning Networks (DRNets), which requires only modest amounts of (unlabeled) data, in sharp contrast to standard deep learning approaches. DRNets reach superhuman performance for crystal-structure phase mapping, a core, long-standing challenge in materials science, enabling the discovery of solar-fuels materials. DRNets provide a general framework for integrating deep learning and reasoning for tackling challenging problems. Finally, I will highlight cross-cutting computational themes and challenges for AI",Keynote: AI for Scientific Discovery and a Sustainable Future,https://ieeexplore.ieee.org/document/10099237/
None,"Artificial Intelligence (AI) has the potential to revolutionize the way we predict and manage energy generation from solar and wind sources. It can greatly enhance the accuracy and scalability of energy prediction in solar and wind power systems. The implementation of advanced machine learning techniques can optimize the performance of these renewable energy systems and predict the variability of energy production. AI-powered algorithms can analyze data from various sources such as weather forecasts and historical energy production data to predict energy generation with increased precision, allowing for optimization of the system's operation. Furthermore, AI can also predict energy demand and adjust energy production, accordingly, resulting in reduced energy waste and increased system efficiency. As the demand for renewable energy continues to rise, the integration of AI in this field becomes increasingly crucial in ensuring a sustainable and dependable energy future. In this research, we investigate the utilization of AI techniques for evaluating the generation of hydrogen from solar and wind power. The results of this study will provide insight into the potential of AI tools for forecasting hydrogen production from solar and wind energy. The amount of hydrogen produced from solar energy is up to 93.3 × 10<sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">3</sup>kg/km<sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">2</sup>whereas estimated production from wind is 6.7 kg/day. The comparison of the performance of the different machine learning models used in the study will help to identify the most effective method for forecasting hydrogen production in this context. Additionally, the study aims to contribute to the growing body of knowledge on the application of AI in the field of renewable energy and its potential to improve the efficiency, scalability, and reliability of energy systems.",Investigating the Energy Production through Sustainable Sources by Incorporating Multifarious Machine Learning Methodologies,https://ieeexplore.ieee.org/document/10136677/
None,"These days most of the developed countries have been focusing on energy consumption forecasting. The smart management of energy became the key note for many researchers in aspects of better understanding of the complex pattern of energy production, distribution and utility line. The AI based smart predictor mainly depends on the huge historical data analytics along with a set of modelling algorithms to specify each logical part. In this paper we have discussed about the core data analytics and the manual evaluation to capture the exact patterns from a real time versatile building energy consumption dataset which could be utilized in the implementation of an AI based smart predictor. With high dimensional data visualization and data analytics we were able to attain relatively lower mean absolute error i.e. a reduction of error up to 40.22% in the data pre-processing phase. We have mainly focused on the handling of the real time energy consumption data set and to trace out the energy supply or consumption breakdown conditions. From a publicly available data set, various data pre-processing criteria have taken and prepared the data-frame for the multivariate prediction model. After data pre-processing linear regression has been used to predict the energy consumption per carpet area and the prediction efficiency has been compared for each cases. With the manual evaluation and the tracing of energy breakdown or any other unusual condition, the prediction performance increased up to 31.03%.",Data analytics to increase efficiency of the AI based energy consumption predictor,https://ieeexplore.ieee.org/document/9212200/
None,"In this paper, wind turbine power output is predicted using Artificial intelligence (AI) techniques. The AI techniques used for predictions are Machine Learning (ML) algorithm and Deep Learning (DL). In ML, polynomial regression is used and Long Short Term Memory(LSTM) was used in DL. This forecasting is long-term forecasting that uses three years of data collected from NIWE (National Institute of Wind Energy) and the results can be used directly for the planning of energy management. Various environmental factors were taken into consideration for forecasting for better accuracy and results. The AI helps to predict the wind turbine output with high accuracy by considering the linear and non-linear types of dataset. This technique can also be used for the preventive maintenance of wind turbines and before the installation of wind power plants in an unfamiliar place to determine the corresponding wind potential.",Wind Turbine Power Output Forecasting Using Artificial Intelligence,https://ieeexplore.ieee.org/document/9851008/
None,"This letter is resulted from IEEE TIV's Decentralized and Hybrid Workshops (DHW) on Autonomous Mining (AM). We have already conducted 2 distributed/decentralized and hybrid symposia (DHS), 5 DHWs, and more than 10 seminars on AM in the past year. The following is a brief summary on the key components from our DHS, DHWs, and Seminars about ethics, responsibility, and sustainability in intelligent vehicles (IVs) and artificial intelligence (AI) for AM (Wang, 2022), (Cao et al., 2022).","The Use of Intelligent Vehicles and Artificial Intelligence in Mining Operations: Ethics, Responsibility, and Sustainability",https://ieeexplore.ieee.org/document/10053624/
None,"Summary form only given, as follows. The complete presentation was not made available for publication as part of the conference proceedings. Artificial Intelligence (AI) is a rapidly advancing field. Novel machine learning methods combined with reasoning and search techniques have led us to reach new milestones: from computer vision, machine translation, and Go and Chess world-champion level play using pure self-training strategies, to self-driving cars. These ever-expanding AI capabilities open up new exciting avenues for advances in new domains. I will discuss our AI research for advancing scientific discovery for a sustainable future. In particular, I will talk about our research in a new interdisciplinary field, Computational Sustainability, which has the overarching goal of developing computational models and methods to help manage the balance between environmental, economic, and societal needs for a sustainable future. I will provide examples of computational sustainability problems, ranging from biodiversity and wildlife conservation, to multi-criteria strategic planning of hydropower dams in the Amazon basin and materials discovery for renewable energy materials. I will also highlight cross-cutting computational themes and challenges for AI at the intersection of constraint reasoning, optimization, machine learning, multi-agent reasoning, citizen science, and crowd-sourcing.",Keynote 2 - Computational Sustainability: Computing for a Better World and a Sustainable Future,https://ieeexplore.ieee.org/document/9556305/
