,abstract,title,month,year
0,"Sustainable chemistry for renewable energy generation and green synthesis is a timely research topic with the vision to provide present needs without compromising future generations. In the era of Industry 4.0, sustainable chemistry and process are undergoing a drastic transformation from continuous flow system toward the next level of operations, such as cooperating and coordinating machine, self-decision-making system, autonomous and automatic problem solver by integrating artificial intelligence, data and hardware in the cyber-physical systems. Due to the lack of convergence between the physical and cyber spaces, the open-loop systems are facing challenges such as data isolation, slow cycle time, and insufficient resources management. Emerging researches have been devoted to accelerating these cycles, reducing the time between multistep processes and real-time characterization via additive manufacturing, in-/on-line monitoring, and artificial intelligence. The final goal is to concurrently propose process recipes, flow synthesis, and molecules characterization in sustainable chemical processes, with each step transmitting and receiving data simultaneously. This process is known as âclosing the loopâ, which will potentially create a future lab with highly integrated systems, and generate a service-orientated platform for end-to-end synchronization and self-evolving, inverse molecular design, and automatic science discovery. This perspective provides a methodical approach for understanding cyber and physical systems individually, enabled by artificial intelligence and additive manufacturing, respectively, in combination with in-/on-line monitoring. Moreover, the future perspective and key challenges for the development of the closed-loop system in sustainable chemistry and process are discussed.","The future of sustainable chemistry and process: Convergence of artificial intelligence, data and hardware",November,2020
1,"Smart cities are claimed to be smart if the new technologies are capable of providing desired sustainable outcome. The sustainable properties of smart city applications require less energy consumption and efficient resource allocation. The Internet-of-Things (IoT), 5G, and fog networks have emerged as the most crucial researched areas due to their numerous applications for smart cities to provide the desired sustainable outcome. The sustainable properties of Wireless Sensor Networks (WSNs) play a vital role in the deployment of these technologies into the physical world and efficient utilization of the available spectrum is a major problem faced here. As a potential solution of this, Cognitive Radio (CR) merged with WSN as Cognitive Radio Sensor Networks (CRSNs) make the smart perspective with high resource management through cooperative communication. The proposed work establishes a dynamic correlation between Secondary Users/nodes (SUs) in a single cluster according to their statistical behavior at the time of performing smart cooperative communication in CRSNs to improve sustainability of smart world IoT applications. Distributed Artificial Intelligence (DAI) is used to calculate the real-time resource allocation to these clusters using their respective Coordinator Agent (CoA) based on the dynamic behaviors. To improve sustainability in the smart city applications, the time delay in the prediction of vacant channels is reduced which results in making these applications become more energy efficient. The effectiveness of the proposed work is illustrated with mathematical analysis and simulation results confirm its better sustainable performance compared to the existing techniques.",Distributed Artificial Intelligence Empowered Sustainable Cognitive Radio Sensor Networks: A Smart City on-demand Perspective,December,2021
2,"Bioenergy may be a major replacement of fossil fuels which can make the path easier for sustainable development and decrease the dependency on conventional sources of energy. The main concern with the bioenergy is the availability of feedstock, dealing with its economics as well as its demand and supply chain management. This review deals with the finding of distinct potential of different Artificial Intelligence technologies focusing the challenges in bioenergy production system and its overall improvement in application. The study also highlights the contribution of Artificial Intelligence techniques for the prediction of energy from biomass and evaluates the computing-reasoning techniques for managing bioenergy production, biomass supply chain and optimization of process parameters for efficient bioconversion technologies.",Production of biofuels from biomass: Predicting the energy employing artificial intelligence modelling,November,2021
3,"The idea of Smart Cities has been one of the key driving factors for the urban transformation to a low carbon climate, sustainable economy and mobility in recent years because of the alarming situation of global warming. One of the industries with swift growth is hotel sector and hence is one of the key contributors to carbon emission and leaves environment footprints. The new emerging concept of sustainable tourism is envisaged as an important part of the Smart Cities paradigm. Improving sustainability by saving energy is becoming a primary task toady for many hotels. A great opportunity is provided by Artificial Intelligence (AI) and Internet of Things (IoT) to assimilate different systems on a platform by encouraging and assisting hotel guests to operate through single device and optimizing hotel operations. Current research focuses to identify the strategic positions of a hotel in terms of sustainability, AI and IoT technology. Components that will be considered by Hotels for the strategic intention of adopting AI and IoT for environmental sustainability. Different development and modification needed to be taken if management wants high sustainability readiness and/or IoT readiness. This conceptual paper constructs on the comprehensive study and systematic review of different area where the hotels can feasibly implement AI and IoT for improving sustainably.",Artificial Intelligence and Internet of Things readiness: inclination for hotels to support a sustainable environment,,2021
4,"Solar radiation measurements are highly important for achieving energy efficiency in smart buildings as well as solar energy production. They are commonly acquired with pyranometer sensor device. However, due to its high initial and maintenance costs it is not densely deployed in the field. Consequently, it provides only limited coverage as a data source for solar radiation. Hence, theoretical, empirical and/or data-driven models are utilized to estimate solar radiation in areas without pyranometers using only data from meteorological sensor stations, which on the other hand are widely available and obtained from sustainable sensor networks. In this paper, end to end process is described for building hybrid models for solar radiation using Artificial Intelligence (AI), or more specifically Machine Learning (ML) methods, after which a detailed analysis is performed on (1) the accuracy of the models regards to their parameters and input features, (2) the sustainability of the models in the real world, and finally (3) their feasibility in (near) real-time monitoring.",Using Artificial Intelligence on environmental data from Internet of Things for estimating solar radiation: Comprehensive analysis,September,2020
5,"This chapter reviews the challenges and opportunities presented by the types of energy systems needed to support more sustainable urban development and transport systems. The chapter begins with a brief overview of the current energy picture and then discusses trends and policy interventions, both internationally and in the United States. The Paris Accord and the plans that are emerging in response to it are reviewed and the issues raised are examined. Subnational efforts to redirect energy and emissions policies are then considered, with a special focus on Californiaâs experience implementing a clean economy model in the context of uncertain national policy paths. The implications of rapid growth in distributed energy resources (DERs), the Internet of Things (IoT), and Artificial Intelligence (AI) are discussed. Integrated problem-solving in energy and transport can offer innovative policy and technological solutions to underpin the emergence of smart, clean, and prosperous communities around the world.",Energy sources for sustainable transportation and urban development,,2020
6,"The single recent focus on deep learning accuracy ignores economic, and environmental cost. Progress towards Green AI is hindered by lack of universal metrics that equally reward accuracy and cost and can help to improve all deep learning algorithms and platforms. We define recognition and training efficiency as new universal metrics to assess deep learning sustainability and compare them to similar, less universal metrics. They are based on energy consumption measurements, on deep learning inference, on recognition gradients, and on number of classes and thus universally balance accuracy, complexity and energy consumption. Well-designed edge accelerators improve recognition and training efficiencies compared to cloud CPUs and GPUs due to reduced communication overhead. Cradle to grave sustainability of edge intelligence models and platforms is assessed with novel deep learning lifecycle efficiency and life cycle recognition efficiency metrics that include the number of times models are used. Artificial and natural intelligence efficiencies are compared leading to insights on deep learning scalability.",New universal sustainability metrics to assess edge intelligence,September,2021
7,"The COVID-19 pandemic affects all of society and hinders day-to-day activities from a straightforward perspective. The pandemic has an influential impact on almost everything and the characteristics of the pandemic remain unclear. This ultimately leads to ineffective strategic planning to manage the pandemic. This study aims to elucidate the typical pandemic characteristics in line with various temporal phases and its associated measures that proved effective in controlling the pandemic. Besides, an insight into diverse countryâs approaches towards pandemic and their consequences is provided in brief. Understanding the role of technologies in supporting humanity gives new perspectives to effectively manage the pandemic. Such role of technologies is expressed from the viewpoint of seamless connectivity, rapid communication, mobility, technological influence in healthcare, digitalization influence, surveillance and security, Artificial Intelligence (AI), and Internet of Things (IoT). Furthermore, some insightful scenarios are framed where the full-fledged implementation of technologies is assumed, and the reflected pandemic impacts in such scenarios are analyzed. The framed scenarios revolve around the digitalized energy sector, an enhanced supply chain system with effective customer-retailer relationships to support the city during the pandemic scenario, and an advanced tracking system for containing virus spread. The study is further extended to frame revitalization strategies to highlight the expertise where significant attention needs to be provided in the post-pandemic period as well as to nurture sustainable development. Finally, the current pandemic scenario is analyzed in terms of occurred changes and is mapped into SWOT factors. Using Fuzzy Technique for Order of Preference by Similarity to Ideal Solution based Multi-Criteria Decision Analysis, these SWOT factors are analyzed to determine where prioritized efforts are needed to focus so as to traverse towards sustainable cities. The results indicate that the enhanced crisis management ability and situational need to restructure the economic model emerges to be the most-significant SWOT factor that can ultimately support humanity for making the cities sustainable.",A hover view over effectual approaches on pandemic management for sustainable cities â The endowment of prospective technologies with revitalization strategies,May,2021
8,"After decades of evolution and improvements, Artificial Intelligence (AI) is now taking root in our daily lives, and is starting to profoundly influence the fields of architecture and sustainability. The applications of AI to sustainable architecture include energy-efficient building design, forecasting and minimizing energy consumption, strategizing for mitigating impacts on environment and climate, and enhancements in the safety and comfort of the living environment. Due to the significant increases in internet speed and accessibility and the drops in computer prices and data storage costs in recent years, Big Data (BD) nowadays plays an important supplementary role to AI. Algorithms and computer codes have been developed for data mining and analysis. BD rejuvenates AI methods and applications in many areas, including sustainable architecture. The present paper starts with an introduction to AI history and techniques. This is followed by a discussion on how AI and BD can be used to design and operate energyâefficient commercial buildings and residential houses, followed by a review of recent applications of AI and BD to energy-efficient buildings with an emphasis on the use of machine learning (ML) and large databases. Future research topics are suggested at the end of this paper. It is reemphasized in the present paper that AI, when combined with BD, can tremendously increase the energy efficiency and cost effectiveness of buildings which are designed to provide occupants with a comfortable indoor living environment.",A review of the applications of artificial intelligence and big data to buildings for energy-efficiency and a comfortable indoor living environment,November,2019
9,"Nowadays, energy crisis is considered an essential active issue for future urbanization in megacities. While the rate of population growth increases, the volume of municipal solid waste production increases significantly. This highlights the need of Sustainable Development Goals (SDGs) for both developed and developing countries. This paper constructs a novel smart framework for supplying biogas energy. Our study is applicable for fields of waste management and energy supply in green buildings. The proposed framework integrates the Response Surface Methodology (RSM), Artificial Intelligence (AI), and Petri net modeling. In this regard, the AI techniques including the Random Tree (RT), Random Forest (RF), Artificial Neural Network (ANN) and, Adaptive-Network-based Fuzzy Inference System (ANFIS) are employed. In addition, for creating the optimum condition, a dynamic control system using the Petri Net modeling is applied. Among all machine learning methods, ANFIS with 0.99 correlation coefficient had the best accuracy for Accumulated Biogas Production (ABP) based on effective factors. Finally, the main findings of this paper are to introduce a novel framework for addressing different scientific issues such as supplying the clean energy in green buildings, the development of a smart and sustainable biogas production control system, integration of solid waste management with the SDGs in green buildings.","Constructing a smart framework for supplying the biogas energy in green buildings using an integration of response surface methodology, artificial intelligence and petri net modelling",November,2021
