Unnamed: 0,title,abstract,year,processed_abstract
0,Assessing the correlation between the sustainable energy for all with doing a business by artificial neural network,"AbstractIn recent years, artificial intelligence-based solutions have become widespread in various fields and have been observed to produce important solutions to critical problems. In this context, it is aimed to assess and establish a direct correlation between energy production/consumption and establishing sustainable business models by using artificial intelligence models. Thus, artificial intelligence-based models have been developed by using parameters related to global energy consumption, doing business, and critical concepts of the relevant topics. The results show that the proposed artificial intelligent-based models reveal a significant correlation between doing business and energy. The outcome of the study could be used in the determination of country strategies in critical areas such as transportation, infrastructure, and education in the near and far future.",2022,abstractin artificial solutions widespread observed produce solutions critical aimed assess establish direct correlation establishing business models using artificial models artificial models using business critical concepts relevant topics artificial models reveal correlation business outcome determination country critical transportation education near far
1,Intelligent Reflective Surface Based 6G Communications for Sustainable Energy Infrastructure,"Advances in artificial intelligence (AI) techniques have offered great opportunities for the optimization of sustainable energy systems. AI techniques rely on the collection of big data, and thus it is necessary to design a fast and reliable communication network to support the need. This article studies the 6G network design based on the intelligent reflective surface (IRS) to realize an extraordinary communication platform. The IRS technology allows wireless providers to improve the RF environment by redirecting the signal to the desired location. In particular, we propose a deep reinforcement learning (DRL) method to adjust the parameters of IRS to ensure the signal quality of the 6G network. Numerical results demonstrate that our proposed IRS-based 6G network design can significantly improve the monitoring and management of sustainable energy systems.",2021,advances techniques offered techniques rely collection design fast communication network network design reflective surface irs realize extraordinary communication irs allows providers improve rf redirecting signal desired location particular reinforcement drl adjust irs signal network numerical network design significantly improve
2,Management and information disclosure of electric power environmental and social governance issues in the age of artificial intelligence,"AbstractThis paper explores the key issues of environmental and social governance (ESG) issues and identifies the main ESG themes for companies in the power industry: sustainable development of green and clean energy, energy conservation and emission reduction, physical and mental safety of professionals, global climate change mitigation, supply chain management, community relationships, responsible governance. In-depth research and comparison are carried out on the related issues of sustainable development. Through validation, it is shown that these issues can have further solutions on ESG issues. Compared to other industries, the number of companies working on AI clean energy has increased by about 25%. In the artificial intelligence management of exhaust emissions, it will be reduced by about 20% than before. After using artificial intelligence, the health index of employees increased by about 4% year-on-year. Enterprise management efficiency has also increased by about 6%. This also shows that in the age of artificial intelligence, everything will be improved.",2022,abstractthis explores issues governance esg issues identifies esg themes companies clean mental professionals mitigation management relationships responsible governance issues validation issues esg issues companies working clean increased artificial intelligence management exhaust artificial intelligence index employees increased enterprise management increased age artificial intelligence everything
3,Detection Algorithm of Wind Power Equipment Video Image Sequence Based on Artificial Intelligence,"How to detect the data in the video image sequence and analyze it efficiently by using the artificial intelligence method is a frontline topic in the field of computer vision. Global wind energy resources are abundant, widely distributed, clean, and pollution-free and meet the requirements of sustainable economic and social development, so relying on the large-scale development and utilization of wind energy has been the common choice of many countries. A major goal of artificial intelligence research is to enable machines to perform complex tasks that normally require human intelligence to perform. The purpose of this study is to detect the video image sequence of wind power equipment based on artificial intelligence and analyze the effectiveness of the algorithm. In this study, augmented reality is used as an auxiliary means. According to the characteristics of the video image inside the fan, a moving target region detection algorithm based on the background difference method is proposed. The algorithm uses the difference between the current image and the background image, uses the first-order Kalman filter to update the dynamic background image, and then uses the adaptive threshold method to segment the moving region. After filtering, the moving target area can be obtained. The results show that the positive detection rate of 980 test samples is 99.6%, and the training time is only 3.785. It is concluded that the accuracy and the number of support vectors of this algorithm are better than other algorithms in the case of the same value of C. It shows that this study has a good detection effect. It provides an effective method for video image sequence detection of wind power equipment.",2022,detect video image sequence analyze method wind wind perform perform study detect video image sequence wind equipment analyze study video image moving target region detection background difference method uses difference image background image uses background image uses method moving region moving target detection study detection method video image sequence detection wind equipment
4,Applications of Intelligent Model to Analyze the Green Finance for Environmental Development in the Context of Artificial Intelligence,"Green finance can be referred to as financial investments made on sustainable projects and policies that focus on a sustainable economy. The procedures include promoting renewable energy sources, energy efficiency, water sanitation, industrial pollution control, transportation pollution control, reduction of deforestation, and carbon emissions, etc. Mainly, these green finance initiatives are carried out by private and public agents like business organizations, banks, international organizations, government organizations, etc. Green finance provides a financial solution to create a positive impact on society and leads to environmental development. In the age of artificial intelligence, all industries adopt AI technologies. In this research, we see the applications of the intelligent model to examine the green finance for ecological advancement with regard to artificial intelligence. Feasible transportation and energy proficiency and power transmission are two significant fields to be advanced and focused on minimizing the carbon impression in these industries. Renewable sources like solar energies for power generation and electric vehicles are to be researched and developed. This R&D requires a considerable fund supply, thus comes the green finance. Globally, green finance plays a vital role in creating a sustainable environment. In this research, for performing the green finance analysis, financial maximally filtered graph (FMFG) algorithm is implemented in different domains. The proposed algorithm is compared with the neural model and observed that the proposed model has obtained 98.85% of accuracy which is higher than the neural model.",2022,green finance financial pollution transportation pollution carbon etc green finance like organizations organizations organizations etc green finance financial industries model green finance transportation carbon industries like green finance green finance green finance financial model model model
5,Managing Sustainability Tensions in Artificial Intelligence: Insights from Paradox Theory,"
This paper offers preliminary reflections on the sustainability tensions present in Artificial Intelligence (AI) and suggests that Paradox Theory, an approach borrowed from the strategic management literature, may help guide scholars towards innovative solutions. The benefits of AI to our society are well documented. Yet those benefits come at environmental and sociological cost, a fact which is often overlooked by mainstream scholars and practitioners. After examining the nascent corpus of literature on the sustainability tensions present in AI, this paper introduces the Accuracy - Energy Paradox and suggests how the principles of paradox theory can guide the AI community to a more sustainable solution.
",2022,offers preliminary reflections tensions present suggests paradox theory borrowed strategic literature guide scholars innovative benefits documented yet benefits come sociological fact often overlooked mainstream scholars practitioners examining nascent corpus literature tensions present introduces paradox suggests principles paradox theory guide community
6,HUNTER: AI based holistic resource management for sustainable cloud computing,"AbstractThe worldwide adoption of cloud data centers (CDCs) has given rise to the ubiquitous demand for hosting application services on the cloud. Further, contemporary data-intensive industries have seen a sharp upsurge in the resource requirements of modern applications. This has led to the provisioning of an increased number of cloud servers, giving rise to higher energy consumption and, consequently, sustainability concerns. Traditional heuristics and reinforcement learning based algorithms for energy-efficient cloud resource management address the scalability and adaptability related challenges to a limited extent. Existing work often fails to capture dependencies across thermal characteristics of hosts, resource consumption of tasks and the corresponding scheduling decisions. This leads to poor scalability and an increase in the compute resource requirements, particularly in environments with non-stationary resource demands. To address these limitations, we propose an artificial intelligence (AI) based holistic resource management technique for sustainable cloud computing called HUNTER. The proposed model formulates the goal of optimizing energy efficiency in data centers as a multi-objective scheduling problem, considering three important models: energy, thermal and cooling. HUNTER utilizes a Gated Graph Convolution Network as a surrogate model for approximating the Quality of Service (QoS) for a system state and generating optimal scheduling decisions. Experiments on simulated and physical cloud environments using the CloudSim toolkit and the COSCO framework show that HUNTER outperforms state-of-the-art baselines in terms of energy consumption, SLA violation, scheduling time, cost and temperature by up to 12, 35, 43, 54 and 3 percent respectively.Highlights •Artificial Intelligence based holistic resource management approach called HUNTER.•HUNTER is a thermal and energy-aware approach for resource scheduling in CDCs.•HUNTER manages resources (servers, memory, storage, network, cooling) holistically.•HUNTER is tested using a simulated and a physical cloud environment.•HUNTER optimizes energy consumption, SLA violation, time, cost and temperature. Graphical abstractDisplay Omitted",2022,cloud centers rise cloud resource cloud servers rise consumption cloud resource address scalability thermal resource consumption scheduling decisions scalability resource environments resource address holistic resource cloud called hunter centers scheduling thermal cooling hunter scheduling decisions simulated physical cloud environments hunter consumption sla violation scheduling temperature holistic resource called thermal resource scheduling servers cooling simulated physical cloud consumption sla violation temperature
7,Theory and Realization of Secondary Task Assignment for Multi-UAV Pickup Based on Green Scheduling,"The development of artificial intelligence technology has brought changes to various industries. Under the concept of green sustainable development, how to use the progress of science and technology to implement low-carbon strategies is a problem that every enterprise should consider. Aiming at the problem of picking up goods in logistics industry, this paper proposed a secondary task assignment theory for multiple unmanned aerial vehicle (Multi-UAV) based on green scheduling. The theory greatly improves the utilization rate of unmanned aerial vehicle (UAV) and reduces the energy consumption. We analyzed the advantages and disadvantages of local optimal algorithm and global optimal algorithm in time and energy consumption. Through repeated experiments in different ranges, we have well verified the high efficiency and general applicability of this theory, which can provide theoretical and practical implications for logistics enterprises using UAV to achieve low-carbon sustainable development in the future.",2021,development technology brought green development technology implement problem every enterprise aiming problem picking goods logistics secondary assignment theory unmanned aerial vehicle green theory greatly improves unmanned aerial vehicle uav reduces advantages disadvantages optimal optimal repeated ranges verified applicability theory theoretical implications logistics enterprises uav development
8,Lightweight Gramian Angular Field classification for edge internet of energy applications,"AbstractWith adverse industrial effects on the global landscape, climate change is imploring the global economy to adopt sustainable solutions. The ongoing evolution of energy efficiency targets massive data collection and Artificial Intelligence (AI) for big data analytics. Besides, emerging on the Internet of Energy (IoE) paradigm, edge computing is playing a rising role in liberating private data from cloud centralization. In this direction, a creative visual approach to understanding energy data is introduced. Building upon micro-moments, which are timeseries of small contextual data points, the power of pictorial representations to encapsulate rich information in a small two-dimensional (2D) space is harnessed through a novel Gramian Angular Fields (GAF) classifier for energy micro-moments. Designed with edge computing efficiency in mind, current testing results on the ODROID-XU4 can classify up to 7 million GAF-converted datapoints with ~ 90% accuracy in less than 30 s, paving the path towards industrial adoption of edge IoE.",2022,abstractwith adverse industrial global landscape imploring global adopt ongoing data collection data besides ioe edge computing playing rising liberating private data centralization creative visual data upon timeseries small contextual data pictorial representations encapsulate rich small harnessed gramian angular gaf classifier edge computing mind testing classify million datapoints paving path industrial edge ioe
9,Big-Data-Based Research on the Architecture Design of University Hydropower Intelligent Decision Service Platform,"
With the continuous development and wide application of big data and artificial intelligence technology, how to efficiently use and mine the whole process data of university hydropower models, perception, business and flows, and realize the transformation of informationization of hydropower management to intelligentialize and wisdom, it has become one of the main tasks in the construction of universitiy informatization under the strategy of advocating energy conservation, lowcarbon sustainable development. Combining with the actual demand of university hydropower management, managing and serving the whole process of hydropower data collection, storage, analysis, monitoring and decision-making assistance, this paper proposes the architecture of an intelligent decision-making service platform for university hydropower on big data, and sorts out the core and key technologies in the platform development process and the current mainstream development frameworks and tools to provide technical references for the realization of intelligent hydropower management and application services in universities, and promote the overall planning and step-by-step implementation of smart campuses.
",2021,development application big data mine whole process data university hydropower flows informationization hydropower management intelligentialize wisdom universitiy informatization advocating lowcarbon development university hydropower management serving whole process hydropower data intelligent platform university hydropower big data sorts platform development process mainstream development references intelligent hydropower management application universities campuses
10,AI-Aided Integrated Terrestrial and Non-Terrestrial 6G Solutions for Sustainable Maritime Networking,"The maritime industry is experiencing a technological revolution that affects shipbuilding, operation of both seagoing and inland vessels, cargo management, and working practices in harbors. This ongoing transformation is driven by the ambition to make the ecosystem more sustainable and cost-efficient. Digitalization and automation help achieve these goals by transforming shipping and cruising into a much more cost- and energy-efficient and decarbonized industry segment. The key enablers in these processes are always-available connectivity and content delivery services, which can not only aid shipping companies in improving their operational efficiency and reducing carbon emissions, but also contribute to enhanced crew welfare and passenger experience. Due to recent advancements in integrating high-capacity and ultra-reliable terrestrial and non-terrestrial networking technologies, ubiquitous maritime connectivity is becoming a reality. To cope with the increased complexity of managing these integrated systems, this article advocates the use of artificial intelligence and machine-learning-based approaches to meet the service requirements and energy efficiency targets in various maritime communications scenarios.",2022,maritime industry experiencing affects shipbuilding seagoing inland vessels cargo working harbors ambition digitalization transforming shipping cruising decarbonized industry segment enablers connectivity content aid shipping crew welfare passenger advancements terrestrial ubiquitous maritime connectivity cope advocates maritime
11,Implementation of Digitalized Technologies for Fashion Industry 4.0: Opportunities and Challenges,"The Sustainable Development Goals of the United Nations prioritize sustainability by 2030. The fashion industry is one most substantial manufacturing industries that generate an economy of 3 trillion dollars and contributes to 2% of the world’s gross domestic product. In addition to this, the fashion industry must focus on social and environmental concerns, where it should create fashionable products to promote sustainable consumption and production. Sustainable consumption and production can be achieved with the establishment of resilient infrastructure with innovation. The resilient infrastructure with innovation is realized by the integration of digital technologies such as the Internet of Things (IoT), artificial intelligence (AI), blockchain, augmented reality (AR), and virtual reality (VR). With this motivation, this study explored the different studies that implemented these technologies in the fashion industry for smart cloth (health), supply chain, circular economy, dress recommendation system, fashion trend forecasting, health prediction, and virtual and augmented based shopping experience. Along with the progress of these technologies in the fashion industry, the study also discussed limitations and provided recommendations such as wide adoption of blockchain in fashion supply chain; advancement in energy storage for smart cloth; integration of IoT, AI, and edge computing; and smart clothing-based framework for rescue operation for future enhancement.",2022,prioritize fashion industry economy dollars fashion industry fashionable production production resilient infrastructure innovation resilient infrastructure innovation integration technologies blockchain augmented reality virtual reality vr technologies fashion industry smart cloth health supply chain economy fashion health virtual augmented shopping technologies fashion industry blockchain fashion supply chain smart cloth integration smart rescue
12,Readiness Status of Artificial Intelligence Applications on Electric Vehicles: A mini global review and analysis using the J-TRA method,"
The transportation sector is a significant contributor to global greenhouse gas (GHG) emissions. It is estimated that replacing fossil fuel-based vehicles with electric vehicles (EVs) powered by sustainable and renewable energy could contribute to approximately 21% of emission avoidance by 2050. To improve the efficiency of EV operation, various artificial intelligence (AI) technologies have been applied. Examples include charging system optimization, self-driving car technology, and traffic control technology. To understand the current readiness status of those technologies applications, a small database of AI use in EVs that is in practice globally is constructed. There are 23 locations of prototype projects identified. The projects are categorized by the AI type, developer type, size of operation, and readiness status. Readiness status is analysed with the Japan Technology Readiness Assessment (J-TRA) methodology. There are seven analysed parameters: 1) Market, 2) Technology development, 3) System Integration, 4) Sustainability Verification, 5) Safety, 6) Commercialization and 7) Cost and Risk. The results show that while there is a promising market, steady progress in technological development, and verified environmental benefits, more work is needed to ensure safety and integration with the current systems before the technology can reach higher readiness levels of commercialization, cost, and risk-coping mechanisms.
",2022,contributor replacing vehicles vehicles evs approximately avoidance operation technology technology current readiness status evs globally constructed projects projects categorized type developer type operation readiness status readiness status analysed japan technology readiness analysed market technology integration verification safety commercialization cost market safety integration current technology readiness commercialization cost
13,Biohybrid systems for environmental intelligence on living plants: WatchPlant project,"
New challenges such as climate change and sustainability arise in society influencing not only environmental issues but human's health directly. To face these new challenges IT technologies and their application to environmental intelligent monitoring become into a powerful tool to set new policies and blueprints to contribute to social good. In the new H2020 project, WatchPlant will provide new tools for environmental intelligence monitoring by the use of plants as ""well-being"" sensors of the environment they inhabit. This will be possible by equipping plants with a net of communicated wireless self-powered sensors, coupled with artificial intelligence (AI) to become plants into ""biohybrid organisms"" to test exposure-effects links between plant and the environment. It will become plants into a new tool to be aware of the environment status in a very early stage towards in-situ monitoring. Additionally, the system is devoted to be sustainable and energy-efficient thanks to the use of clean energy sources such as solar cells and a enzymatic biofuel cell (BFC) together with its self-deployment, self-awareness, adaptation, artificial evolution and the AI capabilities. In this concept paper, WatchPlant will envision how to face this challenge by joining interdisciplinary efforts to access the plant sap for energy harvesting and sensing purposes and become plants into ""biohybrid organisms"" to benefit social good in terms of environmental monitoring in urban scenarios.
",2021,new environmental face new environmental monitoring become tool new blueprints social good new watchplant new environmental monitoring plants sensors environment inhabit equipping plants communicated sensors become plants biohybrid organisms links plant environment become plants new tool environment monitoring enzymatic biofuel bfc watchplant envision face joining plant sap become plants biohybrid organisms social good environmental monitoring
14,"Application of artificial intelligence to wind power generation: modelling, control and fault detection","Power converters play a key-role in the grid-integration of wind power generation and as any physical device, they are prone to mal function and failure. There is, therefore, a need for converter health monitoring and fault detection to ensure a reliable and sustainable operation of the wind turbine. This paper presents different artificial intelligence-based fault detection using fuzzy and neuro-fuzzy techniques. The proposed methods are designed for the detection of one or two open-circuit fault in the power switches of the rotor side converter (RSC) of a doubly-fed induction generator (DFIG) wind energy conversion system (WECS). In the proposed detection method only the average values of the three-phase rotor current are used to identify the faulty switch. Alongside these condition monitoring strategies, the paper also present two fuzzy logic-based controllers for the regulation of the real and reactive power flow between the grid and the converter. The performances of the controllers are evaluated under different operating conditions of the power system and the reliability, feasibility and the effectiveness of the proposed fault detection have been verified under various open-switch fault conditions.",2020,power converters wind power prone mal converter monitoring fault detection wind fault detection fuzzy proposed detection two fault power switches rotor converter rsc induction generator dfig wind conversion wecs proposed detection rotor faulty switch alongside monitoring two fuzzy controllers reactive power converter performances controllers conditions power feasibility proposed fault detection verified fault conditions
